PLCTAG_DI_PortFillBil2Ch                                        plc4/db46.dbx22.2:bool    FC scarico seconda bilancia filler
PLCTAG_DI_PortFillBil2Ap                                        plc4/db46.dbx22.3:bool    FC scarico seconda bilancia filler
PLCTAG_DI_SicFiller                                             plc4/db46.dbx22.4:bool
PLCTAG_DI_AbilitaFiller                                         plc4/db46.dbx22.5:bool
PLCTAG_DO_PesataFill1                                           plc4/db46.dbx22.6:bool
PLCTAG_DO_PesataFill2                                           plc4/db46.dbx22.7:bool
PLCTAG_DO_PesataFill3                                           plc4/db46.dbx23.0:bool
PLCTAG_DO_PesataFill4                                           plc4/db46.dbx23.1:bool
PLCTAG_DO_ScaricoFiller_Vers8_2                                 plc4/db46.dbx23.2:bool
PLCTAG_DI_TermVibrScarBilFil                                    plc4/db46.dbx23.3:bool    DB46.DBX23.3 Termica vibratore scarico bilancia filler
PLCTAG_DI_TermIntroFillerMix                                    plc4/db46.dbx23.4:bool    DB46.DBX23.4 Termica introduzione filler nel mescolatore
PLCTAG_AI_BilanciaFiller                                        plc4/db46.dbw24:word      db46.dbw24
PLCTAG_DO_PesataEXTFill1                                        plc4/db46.dbx26.0:bool
PLCTAG_DO_PesataEXTFill2                                        plc4/db46.dbx26.1:bool
PLCTAG_DO_PesataEXTFill3                                        plc4/db46.dbx26.2:bool
PLCTAG_DO_ApertTuboTroppoPienoF1                                plc4/db46.dbx26.3:bool    DB46.DBX26.3
PLCTAG_DI_ScambioFillerRecuperoInApporto_CH                     plc4/db46.dbx26.4:bool    DB46.DBX26.4
PLCTAG_AO_VelocitaCocleaPesataF1                                plc4/db46.dbw28:int       DB46.DBW28
PLCTAG_AO_VelocitaCocleaPesataF2                                plc4/db46.dbw30:int
PLCTAG_AO_VelocitaCocleaPesataF3                                plc4/db46.dbw32:int
PLCTAG_DI_ValvLegChiusa                                         plc4/db46.dbx44.0:bool    db46.dbx44.0
PLCTAG_DI_ValvLegAperta                                         plc4/db46.dbx44.1:bool
PLCTAG_DI_SicLegante                                            plc4/db46.dbx44.2:bool
PLCTAG_DI_AbilitaBitume                                         plc4/db46.dbx44.3:bool
PLCTAG_DI_PompaLeganteON                                        plc4/db46.dbx44.4:bool
PLCTAG_DO_PesataLegante1                                        plc4/db46.dbx44.5:bool
PLCTAG_DO_PesataLegante2                                        plc4/db46.dbx44.6:bool
PLCTAG_DO_PesataLegante3                                        plc4/db46.dbx44.7:bool
PLCTAG_DO_ScambioB1                                             plc4/db46.dbx45.0:bool
PLCTAG_DO_ScaricoLegante_Vers8_2                                plc4/db46.dbx45.1:bool
PLCTAG_DI_SicurezzaGalleggianteB2                               plc4/db46.dbx45.2:bool
PLCTAG_DI_SicurezzaGalleggianteB3                               plc4/db46.dbx45.3:bool
PLCTAG_DO_ScambioB2                                             plc4/db46.dbx45.4:bool
PLCTAG_DI_FC_Valv3Vie_Schiumato_norm                            plc4/db46.dbx45.5:bool
PLCTAG_DI_FC_Valv3Vie_Schiumato_Soft                            plc4/db46.dbx45.6:bool
PLCTAG_DI_Valv3VieSpruzzatriceVersoTorre                        plc4/db46.dbx45.7:bool    DB46.DBX45.7
PLCTAG_DO_Valv3VieBitume2Emulsione                              plc4/db46.dbx48.0:bool    DB46.DBX48.0
PLCTAG_DI_Valv3VieBitume2EmulsioneVersoBitume2                  plc4/db46.dbx48.1:bool    DB46.DBX48.1
PLCTAG_DI_Valv3VieBitume2EmulsioneVersoEmulsione                plc4/db46.dbx48.2:bool    DB46.DBX48.2
PLCTAG_DO_invAddBacinella                                       plc4/db46.dbx48.3:bool    DB46.DBX48.3
