CistTAG_Bitume_InclusioneContalitri                                               plc2/db5.dbx0.7:bool CistTAG_PARAMETRI
CistTAG_Bitume_CisternaSorgente_1                                                 plc2/db9.dbw8:int    DB9.DBW8
CistTAG_Bitume_DB9_DBW10                                                          plc2/db9.dbw10:int   DB9.DBW10          Mauro 20110719 liberati
CistTAG_Bitume_CodiceOperazione_2                                                 plc2/db9.dbw12:int   DB9.DBW12
CistTAG_Bitume_CisternaSorgente_2                                                 plc2/db9.dbw14:int   DB9.DBW14
CistTAG_Bitume_CisternaDestinazione_1                                             plc2/db9.dbw24:int   DB9.DBW24
CistTAG_Bitume_CMD_StartOperazione_1                                              plc2/db9.dbx26.0:boolDB9.DBX26.0
CistTAG_Bitume_CMD_StopOperazione_1                                               plc2/db9.dbx26.1:boolDB9.DBX26.1
CistTAG_Bitume_CMD_StartOperazione_2                                              plc2/db9.dbx26.2:boolDB9.DBX26.2
CistTAG_Bitume_CMD_StopOperazione_2                                               plc2/db9.dbx26.3:boolDB9.DBX26.3
CistTAG_Bitume_CMD_AzzeraTara                                                     plc2/db9.dbx26.4:boolDB9.DBX26.4
CistTAG_Bitume_DB9_DBW28                                                          plc2/db9.dbw28:int   DB9.DBW28          Mauro 20110719 liberati
CistTAG_Bitume_AzzeraTaraCisternaNumero                                           plc2/db9.dbw30:int   DB9.DBW30
CistTAG_Bitume_Allarme0                                                           plc2/db9.dbx32.0:boolDB9.DBX32.0
CistTAG_Bitume_Allarme1                                                           plc2/db9.dbx32.1:bool
CistTAG_Bitume_Allarme2                                                           plc2/db9.dbx32.2:bool
CistTAG_Bitume_Allarme3                                                           plc2/db9.dbx32.3:bool
CistTAG_Bitume_Allarme4                                                           plc2/db9.dbx32.4:bool
CistTAG_Bitume_Allarme5                                                           plc2/db9.dbx32.5:bool
CistTAG_Bitume_Allarme6                                                           plc2/db9.dbx32.6:bool
CistTAG_Bitume_Allarme7                                                           plc2/db9.dbx32.7:bool
CistTAG_Bitume_Allarme8                                                           plc2/db9.dbx33.0:bool
CistTAG_Bitume_Allarme9                                                           plc2/db9.dbx33.1:bool
CistTAG_Bitume_Allarme10                                                          plc2/db9.dbx33.2:bool
CistTAG_Bitume_Allarme11                                                          plc2/db9.dbx33.3:bool
CistTAG_Bitume_Allarme12                                                          plc2/db9.dbx33.4:bool
CistTAG_Bitume_Allarme13                                                          plc2/db9.dbx33.5:bool
CistTAG_Bitume_Allarme14                                                          plc2/db9.dbx33.6:bool
CistTAG_Bitume_Allarme15                                                          plc2/db9.dbx33.7:bool
CistTAG_Bitume_Allarme16                                                          plc2/db9.dbx34.0:bool
CistTAG_Bitume_Allarme17                                                          plc2/db9.dbx34.1:bool
CistTAG_Bitume_Allarme18                                                          plc2/db9.dbx34.2:bool
CistTAG_Bitume_Allarme19                                                          plc2/db9.dbx34.3:bool
CistTAG_Bitume_Allarme20                                                          plc2/db9.dbx34.4:bool
CistTAG_Bitume_Allarme21                                                          plc2/db9.dbx34.5:bool
CistTAG_Bitume_Allarme22                                                          plc2/db9.dbx34.6:bool
CistTAG_Bitume_Allarme23                                                          plc2/db9.dbx34.7:bool
CistTAG_Bitume_Allarme24                                                          plc2/db9.dbx35.0:bool
CistTAG_Bitume_Allarme25                                                          plc2/db9.dbx35.1:bool
CistTAG_Bitume_Allarme26                                                          plc2/db9.dbx35.2:bool
CistTAG_Bitume_Allarme27                                                          plc2/db9.dbx35.3:bool
CistTAG_Bitume_Allarme28                                                          plc2/db9.dbx35.4:bool
CistTAG_Bitume_Allarme29                                                          plc2/db9.dbx35.5:bool
CistTAG_Bitume_Allarme30                                                          plc2/db9.dbx35.6:bool
CistTAG_Bitume_Allarme31                                                          plc2/db9.dbx35.7:boolDB9.DBX35.7
CistTAG_Bitume_DB9_DBW36                                                          plc2/db9.dbw36:int   DB9.DBW36      Mauro 20110719 liberati
CistTAG_Bitume_CisternaSorgente_3                                                 plc2/db9.dbw38:int   DB9.DBW38
CistTAG_Bitume_DB9_DBX400                                                         plc2/db9.dbx40.0:boolDB9.DBX40.0    Mauro 20110719 liberati
CistTAG_Bitume_DB9_DBX401                                                         plc2/db9.dbx40.1:boolDB9.DBX40.1    Mauro 20110719 liberati
CistTAG_Bitume_DI_AriaImpiantoCisterneOK                                          plc2/db9.dbx40.2:boolDB9.DBX40.2    Mauro 20110719 nuovi
CistTAG_Bitume_DI_Compressore                                                     plc2/db9.dbx40.3:boolDB9.DBX40.3    Mauro 20110719 nuovi
