Lista tags in plc2
sono stati raggruppati i tags  (vedi nmin..nmax)
----------------------------------------------------------------+-----+-----------------------------------------------------------------------------------
Nome tag                                                        | I/O |Descrizione
CistTAG_Emulsione_Cisterna1..10_InclusioneAgitatore             |  O  |
CistTAG_Emulsione_Cisterna1..10_TempUnitaLimiteInf              |  O  |
CistTAG_Emulsione_Cisterna1..10_TempUnitaLimieSup               |  O  |
CistTAG_Emulsione_Cisterna1..10_LivelloUnitaLimiteInf           |  O  |
CistTAG_Emulsione_Cisterna1..10_LivelloUnitaLimiteSup           |  O  |
CistTAG_Emulsione_Cisterna1..10_Densita                         |  O  |
CistTAG_Emulsione_Cisterna1..10_TempGradiLimiteInf              |  O  |
CistTAG_Emulsione_Cisterna1..10_TempGradiLimiteSup              |  O  |
CistTAG_Emulsione_Cisterna1..10_LivelloTonLimiteInf             |  O  |
CistTAG_Emulsione_Cisterna1..10_LivelloTonLimiteSup             |  O  |
CistTAG_Emulsione_Cisterna1..10_TempGradiAllarmeMin             |  O  |
CistTAG_Emulsione_Cisterna1..10_TempGradiAllarmeMax             |  O  |
CistTAG_Emulsione_Cisterna1..10_LivelloTonAllarmeMin            |  O  |
CistTAG_Emulsione_Cisterna1..10_LivelloTonAllarmeMax            |  O  |
CistTAG_Emulsione_Cisterna1..10_LivelloTonAllarmeZonaMorta      |  O  |
CistTAG_Emulsione_Cisterna1..10_TempGradiAllarmeZonaMorta       |  O  |
CistTAG_Emulsione_Cisterna1..10_LivelloMin_DI_Trigger           |  I  |
CistTAG_Emulsione_Cisterna1..10_LivelloMax_DI_Trigger           |  I  |
CistTAG_Emulsione_Cisterna1..10_LivelloSic_DI_Trigger           |  I  |
CistTAG_Emulsione_Cisterna1..10_LivelloPercentualeValore        |  O  |
CistTAG_Emulsione_Cisterna1..10_LivelloTonValore                |  O  |
CistTAG_Emulsione_Cisterna1..10_TempGradiValore                 |  O  |
CistTAG_Emulsione_Cisterna1..10_AllarmeCodiceGen                |  O  |
CistTAG_Emulsione_Cisterna1..10_ValvMandataInverteComando       |  O  |
CistTAG_Emulsione_Cisterna1..10_ValvMandataTempoTimeOutOpen     |  O  |
CistTAG_Emulsione_Cisterna1..10_ValvMandataTempoTimeOutClose    |  O  |
CistTAG_Emulsione_Cisterna1..10_ValvMandataTempoAntirimbalzoFC  |  O  |
CistTAG_Emulsione_Cisterna1..10_ValvMandataOpen_DI_Trigger      |  I  |
CistTAG_Emulsione_Cisterna1..10_ValvMandataClose_DI_Trigger     |  I  |
CistTAG_Emulsione_Cisterna1..10_ValvMandataAllarmeCodice        |  O  |
CistTAG_Emulsione_Cisterna1..10_DI_ValvRitornoBloccoTemp        |  I  |
CistTAG_Emulsione_Cisterna1..10_ValvRitornoInverteComando       |  O  |
CistTAG_Emulsione_Cisterna1..10_ValvRitornoTempoTimeOutOpen     |  O  |
CistTAG_Emulsione_Cisterna1..10_ValvRitornoTempoTimeOutClose    |  O  |
CistTAG_Emulsione_Cisterna1..10_ValvRitornoTempoAntirimbalzoFC  |  O  |
CistTAG_Emulsione_Cisterna1..10_ValvRitornoOpen_DI_Trigger      |  I  |
CistTAG_Emulsione_Cisterna1..10_ValvRitornoClose_DI_Trigger     |  I  |
CistTAG_Emulsione_Cisterna1..10_ValvRitornoAllarmeCodice        |  O  |
CistTAG_Emulsione_Cisterna1..10_DI_ValvCaricoBloccoTemp         |  I  |
CistTAG_Emulsione_Cisterna1..10_ValvCaricoInverteComando        |  O  |
CistTAG_Emulsione_Cisterna1..10_ValvCaricoTempoTimeOutOpen      |  O  |
CistTAG_Emulsione_Cisterna1..10_ValvCaricoTempoTimeOutClose     |  O  |
CistTAG_Emulsione_Cisterna1..10_ValvCaricoTempoAntirimbalzoFC   |  O  |
CistTAG_Emulsione_Cisterna1..10_ValvCaricoOpen_DI_Trigger       |  I  |
CistTAG_Emulsione_Cisterna1..10_ValvCaricoClose_DI_Trigger      |  I  |
CistTAG_Emulsione_Cisterna1..10_ValvCaricoAllarmeCodice         |  O  |
