 plcname |                           basename1                            |                  basename2                   |       basename3        | num | start2 | end2 | start2 | end2 | start3 | end3 
 plc2    | CistTAG_Bitume_Valvola_                                        | _PARA_EN_CMD_Doppio                          |                        |  23 |      0 |   22 |        |      |        |     
 plc2    | CistTAG_Bitume_Valvola_                                        | _PARA_EN_Gestione_Valvola                    |                        |  23 |      0 |   22 |        |      |        |     
 plc2    | CistTAG_Bitume_Valvola_                                        | _PARA_EN_Tipo_Valvola_Manuale                |                        |  23 |      0 |   22 |        |      |        |     
 plc2    | CistTAG_Bitume_Valvola_                                        | _PARA_Inversione_Comando_Valvola             |                        |  23 |      0 |   22 |        |      |        |     
 plc2    | CistTAG_Bitume_Valvola_                                        | _PARA_Tempo_Trigger_FC                       |                        |  23 |      0 |   22 |        |      |        |     
 plc2    | CistTAG_Bitume_Valvola_                                        | _PARA_TimeOut_Scambio_AP                     |                        |  23 |      0 |   22 |        |      |        |     
 plc2    | CistTAG_Bitume_Valvola_                                        | _PARA_TimeOut_Scambio_CH                     |                        |  23 |      0 |   22 |        |      |        |     
 plc2    | CistTAG_Bitume_Valvola_                                        | _VALV_AP_Triggerata                          |                        |  26 |      0 |   25 |        |      |        |     
 plc2    | CistTAG_Bitume_Valvola_                                        | _VALV_CH_Triggerata                          |                        |  26 |      0 |   25 |        |      |        |     
 plc2    | CistTAG_Bitume_ValvoleGestioneManuale_ZZZ                      |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_Watchdog                                        |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_CALDAIA                                                | _ABILITAZIONE                                |                        |   2 |      1 |    2 |        |      |        |     
 plc2    | CistTAG_CALDAIA                                                | _ACK_ALLARMI                                 |                        |   2 |      1 |    2 |        |      |        |     
 plc2    | CistTAG_CALDAIA                                                | _BRUC_2A_FIAMMA_ON                           |                        |   2 |      1 |    2 |        |      |        |     
 plc2    | CistTAG_CALDAIA                                                | _BRUC_ON_CALDAIA_1                           |                        |   2 |      1 |    2 |        |      |        |     
 plc2    | CistTAG_CALDAIA                                                | _CARICAMENTO_OLIO_CIRC                       |                        |   2 |      1 |    2 |        |      |        |     
 plc2    | CistTAG_CALDAIA                                                | _DELTA_TEMPERATURA                           |                        |   2 |      1 |    2 |        |      |        |     
 plc2    | CistTAG_CALDAIA                                                | _EN_VALV_IN_OUT                              |                        |   2 |      1 |    2 |        |      |        |     
 plc2    | CistTAG_CALDAIA                                                | _NOTUSED                                     |                        |   8 |      1 |    2 |      1 |    4 |        |     
 plc2    | CistTAG_CALDAIA                                                | _POMPA_CIRC_ON                               |                        |   2 |      1 |    2 |        |      |        |     
 plc2    | CistTAG_CALDAIA                                                | _START                                       |                        |   2 |      1 |    2 |        |      |        |     
 plc2    | CistTAG_CALDAIA                                                | _STOP_EMERGENZA                              |                        |   2 |      1 |    2 |        |      |        |     
 plc2    | CistTAG_CALDAIA                                                | _TEMPERATURA_CIRCUITO                        |                        |   2 |      1 |    2 |        |      |        |     
 plc2    | CistTAG_CALDAIA                                                | _TEMPERATURA_SET                             |                        |   2 |      1 |    2 |        |      |        |     
 plc2    | CistTAG_CALDAIA                                                | _TEMPO_ARR_P_CIRC                            |                        |   2 |      1 |    2 |        |      |        |     
 plc2    | CistTAG_CALDAIA                                                | _VALVOLA_APERTA_MANDATA                      |                        |   2 |      1 |    2 |        |      |        |     
 plc2    | CistTAG_CALDAIA                                                | _VALVOLA_APERTA_RITORNO                      |                        |   2 |      1 |    2 |        |      |        |     
 plc2    | CistTAG_CALDAIA                                                | _VALVOLA_CHIUSA_MANDATA                      |                        |   2 |      1 |    2 |        |      |        |     
 plc2    | CistTAG_CALDAIA                                                | _VALVOLA_CHIUSA_RITORNO                      |                        |   2 |      1 |    2 |        |      |        |     
 plc2    | CistTAG_Combustibile_AbilitaRegTempCisterna                    |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Combustibile_Cisterna                                  | _AbilitaOrizzontale                          |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Combustibile_Cisterna                                  | _AbilitaValvolaAux                           |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Combustibile_Cisterna                                  | _AbilitaValvolaCarico                        |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Combustibile_Cisterna                                  | _AbilitaValvolaMandata                       |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Combustibile_Cisterna                                  | _AbilitaValvolaRitorno                       |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Combustibile_Cisterna                                  | _AllarmeCodiceGen                            |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Combustibile_Cisterna                                  | _BloccoValvoleBassaTemperatura               |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Combustibile_Cisterna                                  | _Densita                                     |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Combustibile_Cisterna                                  | _DI_ValvAuxBloccoTemp                        |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Combustibile_Cisterna                                  | _DI_ValvCaricoBloccoTemp                     |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Combustibile_Cisterna                                  | _DI_ValvRitornoBloccoTemp                    |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Combustibile_Cisterna                                  | _DiametroMm                                  |                        |  10 |      1 |   10 |        |      |        |     
